105.28, 14.35
105.25, 14.36
105.23, 14.35
105.23, 14.33
105.2, 14.35
105.17, 14.34
105.18, 14.31
105.15, 14.29
105.15, 14.24
105.13, 14.22
105.05, 14.21
105.05, 14.23
105.02, 14.24
105.02, 14.28
104.99, 14.31
105, 14.37
104.98, 14.39
104.94, 14.38
104.93, 14.4
104.9, 14.4
104.88, 14.42
104.83, 14.4
104.81, 14.44
104.73, 14.4
104.72, 14.43
104.69, 14.42
104.69, 14.4
104.63, 14.42
104.58, 14.38
104.57, 14.35
104.52, 14.37
104.48, 14.37
104.48, 14.35
104.38, 14.38
104.32, 14.37
104.27, 14.41
104.24, 14.37
104.17, 14.38
104.17, 14.36
104.14, 14.35
104.14, 14.37
104.11, 14.38
104.07, 14.34
104.01, 14.34
104, 14.36
103.95, 14.35
103.95, 14.33
103.88, 14.34
103.86, 14.37
103.83, 14.37
103.82, 14.35
103.8, 14.37
103.77, 14.36
103.75, 14.38
103.7, 14.38
103.71, 14.41
103.7, 14.44
103.65, 14.44
103.64, 14.41
103.61, 14.41
103.6, 14.43
103.53, 14.43
103.47, 14.37
103.42, 14.39
103.38, 14.35
103.31, 14.36
103.23, 14.33
103.14, 14.33
103.13, 14.3
103.06, 14.29
103.06, 14.27
103, 14.21
102.95, 14.21
102.93, 14.18
102.94, 14.14
102.9, 14.09
102.91, 14.02
102.86, 14
102.78, 13.93
102.77, 13.86
102.72, 13.79
102.73, 13.77
102.7, 13.77
102.69, 13.75
102.56, 13.69
102.55, 13.65
102.57, 13.65
102.57, 13.63
102.61, 13.61
102.58, 13.61
102.57, 13.58
102.54, 13.57
102.43, 13.56
102.36, 13.58
102.36, 13.56
102.34, 13.56
102.34, 13.53
102.36, 13.51
102.35, 13.27
102.39, 13.22
102.39, 13.18
102.42, 13.14
102.43, 13.09
102.46, 13.08
102.49, 13.01
102.53, 13.01
102.52, 12.99
102.49, 12.99
102.49, 12.93
102.51, 12.9
102.5, 12.85
102.52, 12.84
102.54, 12.78
102.5, 12.74
102.51, 12.67
102.53, 12.65
102.57, 12.66
102.59, 12.63
102.65, 12.61
102.64, 12.59
102.67, 12.58
102.7, 12.51
102.73, 12.51
102.74, 12.46
102.77, 12.46
102.77, 12.43
102.78, 12.44
102.79, 12.42
102.79, 12.4
102.74, 12.39
102.72, 12.36
102.73, 12.3
102.71, 12.27
102.72, 12.22
102.7, 12.17
102.73, 12.11
102.77, 12.08
102.78, 11.98
102.82, 11.93
102.81, 11.92
102.83, 11.85
102.91, 11.76
102.91, 11.65
102.76, 11.4
102.56, 11.35
102.4, 11.44
102.22, 11.67
102.1, 11.86
102.03, 12.02
102.04, 12.13
101.99, 12.13
101.9, 12.17
101.83, 12.28
101.74, 12.22
101.64, 12.2
101.56, 12.23
101.49, 12.31
101.36, 12.31
101.26, 12.4
101.25, 12.46
101.22, 12.44
101.16, 12.44
101.17, 12.42
101.16, 12.39
101.08, 12.31
101.02, 12.28
100.86, 12.31
100.77, 12.39
100.22, 12.38
100.21, 12.33
100.24, 12.28
100.24, 12.18
100.12, 11.96
100.07, 11.93
